agy_code,AgencyName,longitude,latitude,Hydrologic_Region,est_perc_u10,est_perc_o75,est_med_income,DAC_dummy
1130,Fruitridge Vista Water Company,-121.4564,38.51137,Sacramento River,18,4,28736,1
1166,Hemet  City of,-116.9815,33.74298,South Coast,13,13,30068,1
1146,Golden State Water Company Florence Graham,-118.2443,33.96816,South Coast,19,2,33007,1
1407,"Yreka, City of",-122.6305,41.72977,North Coast,14,10,34631,1
1088,"Corcoran, City of",-119.5611,36.0806,Tulare Lake,11,2,35636,1
1269,"Perris, City of",-117.2311,33.78148,South Coast,17,2,36784,1
1050,California Water Service Company Oroville,-121.5572,39.49772,Sacramento River,16,6,36893,1
1192,Lamont Public Utility District,-118.9162,35.24894,Tulare Lake,22,2,37126,1
1091,Crescent City  City of,-124.1877,41.77595,North Coast,12,5,37377,1
1007,"Anderson, City of",-122.2945,40.44995,Sacramento River,13,8,37737,1
1226,Mission Springs Water District,-116.5995,33.97184,Colorado River,15,6,38486,1
1199,Linda County Water District,-121.5526,39.12169,Sacramento River,18,3,38501,1
1034,Calexico  City of,-115.4993,32.67902,Colorado River,16,6,38533,1
1390,Vernon  City of,-118.2145,34.00212,South Coast,15,4,38604,1
1013,Arvin Community Services District,-118.8319,35.2061,Tulare Lake,19,1,38682,1
1174,Huntington Park  City of,-118.2169,33.9788,South Coast,16,3,38918,1
1141,Golden State Water Company Bell-Bell Gardens,-118.1707,33.96857,South Coast,17,3,39283,1
1394,Wasco  City of,-119.3703,35.59526,Tulare Lake,16,3,39298,1
1000,Adelanto City of,-117.4407,34.58106,South Lahontan,19,2,39501,1
1101,Dinuba  City of,-119.3894,36.54529,Tulare Lake,21,4,39675,1
1376,Twentynine Palms Water District,-116.0893,34.167,Colorado River,17,3,39697,1
1098,Delano  City of,-119.2575,35.76692,Tulare Lake,18,3,39827,1
1011,Arcata  City of,-124.0753,40.86201,North Coast,9,4,40650,1
1079,City of Newman Water Department,-121.0252,37.31681,San Joaquin River,18,4,40935,1
1113,El Monte  City of,-118.0376,34.0741,South Coast,14,6,40988,1
1044,California Water Service Company Kern River Valley,-118.3889,35.66553,Tulare Lake,8,12,41097,1
1056,California Water Service Company Stockton,-121.2819,37.95315,San Joaquin River,17,5,41152,1
1322,San Jacinto  City of,-116.9598,33.78777,South Coast,16,6,41548,1
1189,Lake Hemet Municipal Water District,-116.9105,33.73917,South Coast,15,8,41838,1
1078,"City of Big Bear Lake, Dept of Water & Power",-116.8844,34.24398,South Coast,9,7,41858,1
1048,California Water Service Company Marysville,-121.5778,39.15345,Sacramento River,15,6,42010,1
1180,Joshua Basin Water District,-116.2803,34.16666,Colorado River,13,8,42178,1
1212,Madera  City of,-120.0774,36.96729,San Joaquin River,20,3,42365,1
1211,Lynwood  City of,-118.2054,33.92638,South Coast,17,3,42399,1
1263,Paradise Irrigation District,-121.6056,39.75648,Sacramento River,8,13,42443,1
1309,San Bernardino  City of,-117.3059,34.13955,South Coast,17,3,42564,1
